编号	文件名	编码功能概要
1	chain.h	用指针实现表
2	cnode.h	单链表结点
3	qitem.h	队列元素类型
4	qnode.h	指针队列结点
5	queue.h	用循环数组实现队列
6	lqueue.h	用指针实现队列
7	listitem.h	表元素类型
8	make2db.h	创建动态2维数组
9	ufset.h	数组实现并查集
10	quicksort.h	快速排序
11	witem.h	边权
12	item.h	赋权边
13	agraph.h	用邻接矩阵实现图
14	agnode.h	邻接矩阵无向图结构
15	adgnode.h	邻接矩阵有向图结构
16	adigraph.h	用邻接矩阵实现有向图 
17	awdgnode.h	邻接矩阵赋权有向图结构
18	awdgraph.h	用邻接矩阵实现赋权有向图
19	awgnode.h	邻接矩阵赋权图结构
20	awgraph.h	用邻接矩阵实现赋权图
21	ldgnode.h	邻接表有向图结构
22	ldgraph.h	用邻接表实现有向图
23	lgnode.h	邻接表图结构
24	lgraph.h	用邻接表实现图
25	lwdgnode.h	邻接表赋权有向图结构
26	lwdgraph.h	用邻接表实现赋权有向图
27	lwgnode.h	邻接表赋权图结构
28	lwgraph.h	用邻接表实现赋权图
29	dijkstra.h	Dijkstra算法
30	bellmanford.h	Bellman-Ford算法
31	floyd.h	Floyd算法
32	kruskal.h	Kruskal算法
33	prim.h	Prim算法
34	shortdag.h	DAG的最短路径
35	alldag.h	DAG所有顶点对最短路
36	daglongest.h	DAG的多源最长路径
37	topsort.h	拓扑排序
38	testag.c	测试邻接矩阵实现无向图
39	testadg.c	测试邻接矩阵实现有向图
40	testawdg.c	测试邻接矩阵实现赋权有向图
41	testawg.c	测试邻接矩阵实现赋权图
42	testldg.c	测试邻接表实现有向图
43	testlg.c	测试邻接表实现无向图
44	testlwdg.c	测试邻接表实现赋权有向图
45	testlwg.c	测试邻接表实现赋权图
46	abfs.c	广度优先搜索
47	adfs.c	深度优先搜索
48	ldfs.c	链图深度优先搜索
49	testdijkstra.c	测试Dijkstra算法
50	testbellmanford.c	测试Bellman-Ford算法
51	testfloyd.c	测试Floyd算法
52	testkruskal.c	测试Kruskal算法
53	testprim.c	测试Prim算法
54	testalldag.c	测试DAG所有顶点对最短路
55	testdaglongest.c	测试DAG的多源最长路径
56	testshortdag.c	测试DAG的最短路径
57	topsort.c	测试拓扑排序
58	topsort1.c	测试拓扑排序
59	revtopsort.c	反拓扑排序
60	diff.c	差分约束系统
61	arbitrage.c	套汇问题
